id_tableau,titre_tableau,source,categorie,sous_categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.25,Répartition de la flore vasculaire du Burundi selon les genres,INECN/ OBPE,Genres floriques,Gymnospermes,1,1,1,1,1,1,1,1,1,1,1,1,1
3.25,Répartition de la flore vasculaire du Burundi selon les genres,INECN/ OBPE,Genres floriques,Pteridophytes,77,77,77,77,77,77,77,77,77,77,77,77,77
3.25,Répartition de la flore vasculaire du Burundi selon les genres,INECN/ OBPE,Genres floriques,Dicotylédones,746,746,746,746,746,746,746,746,746,746,746,746,746
3.25,Répartition de la flore vasculaire du Burundi selon les genres,INECN/ OBPE,Genres floriques,Monocotylédones,222,222,222,222,222,222,222,222,222,222,222,222,222
3.25,Répartition de la flore vasculaire du Burundi selon les genres,INECN/ OBPE,Genres floriques,Total,1 046,1 046,1 046,1 046,1 046,1 046,1 046,1 046,1 046,1 046,1 046,1 046,1 046
