id_tableau,titre_tableau,source,categorie,sous_categorie,2002,2006,2008,2014
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bubanza,-,520,3450,1870
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura,-,6579,9562,23994
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bururi,-,12422,13961,23995
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cankuzo,-,321,2228,2704
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cibitoke,-,3454,5420,13904
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Gitega,-,13769,11938,14464
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Karusi,-,29,3219,2912
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kayanza,-,5361,9395,6360
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kirundo,-,1140,7635,8662
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Makamba,-,1797,6731,9801
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Muramvya,-,1984,5442,3945
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Mwaro,-,4219,6879,11110
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Muyinga,-,3525,8421,8007
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Ngozi,-,5189,9499,10070
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Rutana,-,1953,3696,2885
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Ruyigi,-,653,3549,4188
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura Mairie,-,33764,56624,86532
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Rumonge,-,-,-,-
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Urbain,-,38674,78922,120914
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Rural,-,49644,87133,114490
2.08, Nombre de logements avec sol carrelé ou cimenté par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Ensemble,-,125909,165184,235404
