id_tableau,titre_tableau,source,centre,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11.02,Evolution des importations d'électricité (en Kw).,REGIDESO,Ruzizi I,21 859 590,25 922 128,24 508 983,22310567,22 585 223,22 640 398,20 676 923,25 557 287,21 876 080,21 018 124
11.02,Evolution des importations d'électricité (en Kw).,REGIDESO,Ruzizi II,63 177 000,73 501 000,79 612 000,81979000,80 644 000,68 698 000,71 013 000,94 375 000,63 363 000,62 717 994
